Validation_Set,Topics,Alpha,Beta,Coherence,Iteration
50% Corpus,5,0.91,0.91,0.540576908,109
50% Corpus,5,0.91,symmetric,0.480488826,110
50% Corpus,5,symmetric,0.01,0.445729984,111
50% Corpus,5,symmetric,0.31,0.42949796,112
50% Corpus,5,symmetric,0.61,0.484950415,113
50% Corpus,5,symmetric,0.91,0.478391728,114
50% Corpus,5,symmetric,symmetric,0.430188946,115
50% Corpus,5,asymmetric,0.01,0.491903159,116
50% Corpus,5,asymmetric,0.31,0.540163852,117
50% Corpus,5,asymmetric,0.61,0.520056004,118
50% Corpus,5,asymmetric,0.91,0.408784824,119
50% Corpus,5,asymmetric,symmetric,0.412335206,120
50% Corpus,6,0.01,0.01,0.428141459,121
50% Corpus,6,0.01,0.31,0.453914126,122
50% Corpus,6,0.01,0.61,0.518245347,123
50% Corpus,6,0.01,0.91,0.397394948,124
50% Corpus,6,0.01,symmetric,0.425488065,125
50% Corpus,6,0.31,0.01,0.445969096,126
50% Corpus,6,0.31,0.31,0.426641269,127
50% Corpus,6,0.31,0.61,0.52800425,128
50% Corpus,6,0.31,0.91,0.472661574,129
50% Corpus,6,0.31,symmetric,0.429388744,130
50% Corpus,6,0.61,0.01,0.472956039,131
50% Corpus,6,0.61,0.31,0.434530131,132
50% Corpus,6,0.61,0.61,0.522983836,133
50% Corpus,6,0.61,0.91,0.529556657,134
50% Corpus,6,0.61,symmetric,0.451818886,135
50% Corpus,6,0.91,0.01,0.504464797,136
50% Corpus,6,0.91,0.31,0.465061933,137
50% Corpus,6,0.91,0.61,0.456723571,138
50% Corpus,6,0.91,0.91,0.504210204,139
50% Corpus,6,0.91,symmetric,0.483770242,140
50% Corpus,6,symmetric,0.01,0.425962376,141
50% Corpus,6,symmetric,0.31,0.406792627,142
50% Corpus,6,symmetric,0.61,0.500228713,143
50% Corpus,6,symmetric,0.91,0.50923233,144
50% Corpus,6,symmetric,symmetric,0.449893179,145
50% Corpus,6,asymmetric,0.01,0.488093061,146
50% Corpus,6,asymmetric,0.31,0.549927936,147
50% Corpus,6,asymmetric,0.61,0.459727124,148
50% Corpus,6,asymmetric,0.91,0.420436438,149
50% Corpus,6,asymmetric,symmetric,0.445672093,150
50% Corpus,7,0.01,0.01,0.469442941,151
50% Corpus,7,0.01,0.31,0.444164682,152
50% Corpus,7,0.01,0.61,0.48384757,153
50% Corpus,7,0.01,0.91,0.37717883,154
50% Corpus,7,0.01,symmetric,0.436971783,155
50% Corpus,7,0.31,0.01,0.4558025,156
50% Corpus,7,0.31,0.31,0.45887374,157
